    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220701, 20220712, 20220712, 20220712, 20220712, 20220715, 20220715, 20220701
20220702, 20220712, 20220712, 20220716, 20220716, 20220716, 20220716, 20220702
20220703, 20220712, 20220712, 20220717, 20220717, 20220717, 20220717, 20220703
20220704, 20220712, 20220704, 20220711, 20220704, 20220711, 20220704, 20220704
20220705, 20220712, 20220705, 20220712, 20220705, 20220712, 20220705, 20220705
20220706, 20220712, 20220712, 20220712, 20220712, 20220713, 20220713, 20220706
20220707, 20220712, 20220712, 20220712, 20220712, 20220714, 20220714, 20220707
20220708, 20220712, 20220712, 20220712, 20220712, 20220715, 20220715, 20220708
20220709, 20220712, 20220712, 20220716, 20220716, 20220716, 20220716, 20220709
20220710, 20220712, 20220712, 20220717, 20220717, 20220717, 20220717, 20220710
20220711, 20220712, 20220712, 20220711, 20220711, 20220711, 20220711, 20220711
20220712, 20220712, 20220712, 20220712, 20220712, 20220712, 20220712, 20220712
20220713, 20220712, 20220712, 20220712, 20220712, 20220713, 20220713, 20220713
20220714, 20220712, 20220712, 20220712, 20220712, 20220714, 20220714, 20220714
20220715, 20220712, 20220712, 20220712, 20220712, 20220715, 20220715, 20220715
20220716, 20220712, 20220712, 20220716, 20220716, 20220716, 20220716, 20220716
20220717, 20220712, 20220712, 20220717, 20220717, 20220717, 20220717, 20220717
20220718, 20220712, 20220712, 20220711, 20220711, 20220711, 20220711, 20220718
20220719, 20220712, 20220712, 20220712, 20220712, 20220712, 20220712, 20220719
20220720, 20220712, 20220712, 20220712, 20220712, 20220713, 20220713, 20220720
20220721, 20220712, 20220712, 20220712, 20220712, 20220714, 20220714, 20220721
20220722, 20220712, 20220712, 20220712, 20220712, 20220715, 20220715, 20220722
20220723, 20220712, 20220712, 20220716, 20220716, 20220716, 20220716, 20220723
20220724, 20220712, 20220712, 20220717, 20220717, 20220717, 20220717, 20220724
20220725, 20220712, 20220712, 20220711, 20220711, 20220711, 20220711, 20220725
20220726, 20220712, 20220712, 20220712, 20220712, 20220712, 20220712, 20220726
20220727, 20220712, 20220712, 20220712, 20220712, 20220713, 20220713, 20220727
20220728, 20220712, 20220712, 20220712, 20220712, 20220714, 20220714, 20220728
20220729, 20220712, 20220712, 20220712, 20220712, 20220715, 20220715, 20220729
20220730, 20220712, 20220712, 20220716, 20220716, 20220716, 20220716, 20220730
20220731, 20220712, 20220712, 20220717, 20220717, 20220717, 20220717, 20220731
