    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220501, 20220503, 20220503, 20220508, 20220508, 20220508, 20220508, 20220501
20220502, 20220503, 20220503, 20220502, 20220502, 20220502, 20220502, 20220502
20220503, 20220503, 20220503, 20220503, 20220503, 20220503, 20220503, 20220503
20220504, 20220503, 20220503, 20220503, 20220503, 20220504, 20220504, 20220504
20220505, 20220503, 20220503, 20220503, 20220503, 20220505, 20220505, 20220505
20220506, 20220503, 20220503, 20220503, 20220503, 20220506, 20220506, 20220506
20220507, 20220503, 20220503, 20220507, 20220507, 20220507, 20220507, 20220507
20220508, 20220503, 20220503, 20220508, 20220508, 20220508, 20220508, 20220508
20220509, 20220503, 20220503, 20220502, 20220502, 20220502, 20220502, 20220509
20220510, 20220503, 20220503, 20220503, 20220503, 20220503, 20220503, 20220510
20220511, 20220503, 20220503, 20220503, 20220503, 20220504, 20220504, 20220511
20220512, 20220503, 20220503, 20220503, 20220503, 20220505, 20220505, 20220512
20220513, 20220503, 20220503, 20220503, 20220503, 20220506, 20220506, 20220513
20220514, 20220503, 20220503, 20220507, 20220507, 20220507, 20220507, 20220514
20220515, 20220503, 20220503, 20220508, 20220508, 20220508, 20220508, 20220515
20220516, 20220503, 20220503, 20220502, 20220502, 20220502, 20220502, 20220516
20220517, 20220503, 20220503, 20220503, 20220503, 20220503, 20220503, 20220517
20220518, 20220503, 20220503, 20220503, 20220503, 20220504, 20220504, 20220518
20220519, 20220503, 20220503, 20220503, 20220503, 20220505, 20220505, 20220519
20220520, 20220503, 20220503, 20220503, 20220503, 20220506, 20220506, 20220520
20220521, 20220503, 20220503, 20220507, 20220507, 20220507, 20220507, 20220521
20220522, 20220503, 20220503, 20220508, 20220508, 20220508, 20220508, 20220522
20220523, 20220503, 20220503, 20220502, 20220502, 20220502, 20220502, 20220523
20220524, 20220503, 20220503, 20220503, 20220503, 20220503, 20220503, 20220524
20220525, 20220503, 20220503, 20220503, 20220503, 20220504, 20220504, 20220525
20220526, 20220503, 20220503, 20220503, 20220503, 20220505, 20220505, 20220526
20220527, 20220503, 20220503, 20220503, 20220503, 20220506, 20220506, 20220527
20220528, 20220503, 20220503, 20220507, 20220507, 20220507, 20220507, 20220528
20220529, 20220503, 20220503, 20220508, 20220508, 20220508, 20220508, 20220529
20220530, 20220503, 20220530, 20220502, 20220530, 20220502, 20220530, 20220530
20220531, 20220503, 20220531, 20220503, 20220531, 20220503, 20220531, 20220531
