    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220601, 20220607, 20220607, 20220607, 20220607, 20220608, 20220608, 20220601
20220602, 20220607, 20220607, 20220607, 20220607, 20220609, 20220609, 20220602
20220603, 20220607, 20220607, 20220607, 20220607, 20220610, 20220610, 20220603
20220604, 20220607, 20220607, 20220611, 20220611, 20220611, 20220611, 20220604
20220605, 20220607, 20220607, 20220612, 20220612, 20220612, 20220612, 20220605
20220606, 20220607, 20220607, 20220606, 20220606, 20220606, 20220606, 20220606
20220607, 20220607, 20220607, 20220607, 20220607, 20220607, 20220607, 20220607
20220608, 20220607, 20220607, 20220607, 20220607, 20220608, 20220608, 20220608
20220609, 20220607, 20220607, 20220607, 20220607, 20220609, 20220609, 20220609
20220610, 20220607, 20220607, 20220607, 20220607, 20220610, 20220610, 20220610
20220611, 20220607, 20220607, 20220611, 20220611, 20220611, 20220611, 20220611
20220612, 20220607, 20220607, 20220612, 20220612, 20220612, 20220612, 20220612
20220613, 20220607, 20220607, 20220606, 20220606, 20220606, 20220606, 20220613
20220614, 20220607, 20220607, 20220607, 20220607, 20220607, 20220607, 20220614
20220615, 20220607, 20220607, 20220607, 20220607, 20220608, 20220608, 20220615
20220616, 20220607, 20220607, 20220607, 20220607, 20220609, 20220609, 20220616
20220617, 20220607, 20220607, 20220607, 20220607, 20220610, 20220610, 20220617
20220618, 20220607, 20220607, 20220611, 20220611, 20220611, 20220611, 20220618
20220619, 20220607, 20220607, 20220612, 20220612, 20220612, 20220612, 20220619
20220620, 20220607, 20220607, 20220606, 20220606, 20220606, 20220606, 20220620
20220621, 20220607, 20220607, 20220607, 20220607, 20220607, 20220607, 20220621
20220622, 20220607, 20220607, 20220607, 20220607, 20220608, 20220608, 20220622
20220623, 20220607, 20220607, 20220607, 20220607, 20220609, 20220609, 20220623
20220624, 20220607, 20220607, 20220607, 20220607, 20220610, 20220610, 20220624
20220625, 20220607, 20220607, 20220611, 20220611, 20220611, 20220611, 20220625
20220626, 20220607, 20220607, 20220612, 20220612, 20220612, 20220612, 20220626
20220627, 20220607, 20220607, 20220606, 20220606, 20220606, 20220606, 20220627
20220628, 20220607, 20220607, 20220607, 20220607, 20220607, 20220607, 20220628
20220629, 20220607, 20220607, 20220607, 20220607, 20220608, 20220608, 20220629
20220630, 20220607, 20220607, 20220607, 20220607, 20220609, 20220609, 20220630
