    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220401, 20220405, 20220405, 20220405, 20220405, 20220408, 20220408, 20220401
20220402, 20220405, 20220405, 20220409, 20220409, 20220409, 20220409, 20220402
20220403, 20220405, 20220405, 20220410, 20220410, 20220410, 20220410, 20220403
20220404, 20220405, 20220405, 20220404, 20220404, 20220404, 20220404, 20220404
20220405, 20220405, 20220405, 20220405, 20220405, 20220405, 20220405, 20220405
20220406, 20220405, 20220405, 20220405, 20220405, 20220406, 20220406, 20220406
20220407, 20220405, 20220405, 20220405, 20220405, 20220407, 20220407, 20220407
20220408, 20220405, 20220405, 20220405, 20220405, 20220408, 20220408, 20220408
20220409, 20220405, 20220405, 20220409, 20220409, 20220409, 20220409, 20220409
20220410, 20220405, 20220405, 20220410, 20220410, 20220410, 20220410, 20220410
20220411, 20220405, 20220405, 20220404, 20220404, 20220404, 20220404, 20220411
20220412, 20220405, 20220405, 20220405, 20220405, 20220405, 20220405, 20220412
20220413, 20220405, 20220405, 20220405, 20220405, 20220406, 20220406, 20220413
20220414, 20220405, 20220405, 20220405, 20220405, 20220407, 20220407, 20220414
20220415, 20220405, 20220415, 20220405, 20220415, 20220408, 20220415, 20220415
20220416, 20220405, 20220416, 20220409, 20220416, 20220409, 20220416, 20220416
20220417, 20220405, 20220405, 20220410, 20220410, 20220410, 20220410, 20220417
20220418, 20220405, 20220405, 20220404, 20220404, 20220404, 20220404, 20220418
20220419, 20220405, 20220405, 20220405, 20220405, 20220405, 20220405, 20220419
20220420, 20220405, 20220405, 20220405, 20220405, 20220406, 20220406, 20220420
20220421, 20220405, 20220405, 20220405, 20220405, 20220407, 20220407, 20220421
20220422, 20220405, 20220405, 20220405, 20220405, 20220408, 20220408, 20220422
20220423, 20220405, 20220405, 20220409, 20220409, 20220409, 20220409, 20220423
20220424, 20220405, 20220405, 20220410, 20220410, 20220410, 20220410, 20220424
20220425, 20220405, 20220405, 20220404, 20220404, 20220404, 20220404, 20220425
20220426, 20220405, 20220405, 20220405, 20220405, 20220405, 20220405, 20220426
20220427, 20220405, 20220405, 20220405, 20220405, 20220406, 20220406, 20220427
20220428, 20220405, 20220405, 20220405, 20220405, 20220407, 20220407, 20220428
20220429, 20220405, 20220405, 20220405, 20220405, 20220408, 20220408, 20220429
20220430, 20220405, 20220405, 20220409, 20220409, 20220409, 20220409, 20220430
