    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220101, 20220104, 20220101, 20220108, 20220101, 20220108, 20220101, 20220101
20220102, 20220104, 20220102, 20220109, 20220102, 20220109, 20220102, 20220102
20220103, 20220104, 20220104, 20220103, 20220103, 20220103, 20220103, 20220103
20220104, 20220104, 20220104, 20220104, 20220104, 20220104, 20220104, 20220104
20220105, 20220104, 20220104, 20220104, 20220104, 20220105, 20220105, 20220105
20220106, 20220104, 20220104, 20220104, 20220104, 20220106, 20220106, 20220106
20220107, 20220104, 20220104, 20220104, 20220104, 20220107, 20220107, 20220107
20220108, 20220104, 20220104, 20220108, 20220108, 20220108, 20220108, 20220108
20220109, 20220104, 20220104, 20220109, 20220109, 20220109, 20220109, 20220109
20220110, 20220104, 20220104, 20220103, 20220103, 20220103, 20220103, 20220110
20220111, 20220104, 20220104, 20220104, 20220104, 20220104, 20220104, 20220111
20220112, 20220104, 20220104, 20220104, 20220104, 20220105, 20220105, 20220112
20220113, 20220104, 20220104, 20220104, 20220104, 20220106, 20220106, 20220113
20220114, 20220104, 20220104, 20220104, 20220104, 20220107, 20220107, 20220114
20220115, 20220104, 20220104, 20220108, 20220108, 20220108, 20220108, 20220115
20220116, 20220104, 20220104, 20220109, 20220109, 20220109, 20220109, 20220116
20220117, 20220104, 20220104, 20220103, 20220103, 20220103, 20220103, 20220117
20220118, 20220104, 20220104, 20220104, 20220104, 20220104, 20220104, 20220118
20220119, 20220104, 20220104, 20220104, 20220104, 20220105, 20220105, 20220119
20220120, 20220104, 20220104, 20220104, 20220104, 20220106, 20220106, 20220120
20220121, 20220104, 20220104, 20220104, 20220104, 20220107, 20220107, 20220121
20220122, 20220104, 20220104, 20220108, 20220108, 20220108, 20220108, 20220122
20220123, 20220104, 20220104, 20220109, 20220109, 20220109, 20220109, 20220123
20220124, 20220104, 20220104, 20220103, 20220103, 20220103, 20220103, 20220124
20220125, 20220104, 20220104, 20220104, 20220104, 20220104, 20220104, 20220125
20220126, 20220104, 20220104, 20220104, 20220104, 20220105, 20220105, 20220126
20220127, 20220104, 20220104, 20220104, 20220104, 20220106, 20220106, 20220127
20220128, 20220104, 20220104, 20220104, 20220104, 20220107, 20220107, 20220128
20220129, 20220104, 20220104, 20220108, 20220108, 20220108, 20220108, 20220129
20220130, 20220104, 20220104, 20220109, 20220109, 20220109, 20220109, 20220130
20220131, 20220104, 20220104, 20220103, 20220103, 20220103, 20220103, 20220131
