    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20221001, 20221004, 20221004, 20221008, 20221008, 20221008, 20221008, 20221001
20221002, 20221004, 20221004, 20221009, 20221009, 20221009, 20221009, 20221002
20221003, 20221004, 20221004, 20221003, 20221003, 20221003, 20221003, 20221003
20221004, 20221004, 20221004, 20221004, 20221004, 20221004, 20221004, 20221004
20221005, 20221004, 20221004, 20221004, 20221004, 20221005, 20221005, 20221005
20221006, 20221004, 20221004, 20221004, 20221004, 20221006, 20221006, 20221006
20221007, 20221004, 20221004, 20221004, 20221004, 20221007, 20221007, 20221007
20221008, 20221004, 20221004, 20221008, 20221008, 20221008, 20221008, 20221008
20221009, 20221004, 20221004, 20221009, 20221009, 20221009, 20221009, 20221009
20221010, 20221004, 20221004, 20221003, 20221003, 20221003, 20221003, 20221010
20221011, 20221004, 20221004, 20221004, 20221004, 20221004, 20221004, 20221011
20221012, 20221004, 20221004, 20221004, 20221004, 20221005, 20221005, 20221012
20221013, 20221004, 20221004, 20221004, 20221004, 20221006, 20221006, 20221013
20221014, 20221004, 20221004, 20221004, 20221004, 20221007, 20221007, 20221014
20221015, 20221004, 20221004, 20221008, 20221008, 20221008, 20221008, 20221015
20221016, 20221004, 20221004, 20221009, 20221009, 20221009, 20221009, 20221016
20221017, 20221004, 20221004, 20221003, 20221003, 20221003, 20221003, 20221017
20221018, 20221004, 20221004, 20221004, 20221004, 20221004, 20221004, 20221018
20221019, 20221004, 20221004, 20221004, 20221004, 20221005, 20221005, 20221019
20221020, 20221004, 20221004, 20221004, 20221004, 20221006, 20221006, 20221020
20221021, 20221004, 20221004, 20221004, 20221004, 20221007, 20221007, 20221021
20221022, 20221004, 20221004, 20221008, 20221008, 20221008, 20221008, 20221022
20221023, 20221004, 20221004, 20221009, 20221009, 20221009, 20221009, 20221023
20221024, 20221004, 20221004, 20221003, 20221003, 20221003, 20221003, 20221024
20221025, 20221004, 20221004, 20221004, 20221004, 20221004, 20221004, 20221025
20221026, 20221004, 20221004, 20221004, 20221004, 20221005, 20221005, 20221026
20221027, 20221004, 20221004, 20221004, 20221004, 20221006, 20221006, 20221027
20221028, 20221004, 20221004, 20221004, 20221004, 20221007, 20221007, 20221028
20221029, 20221004, 20221004, 20221008, 20221008, 20221008, 20221008, 20221029
20221030, 20221004, 20221004, 20221009, 20221009, 20221009, 20221009, 20221030
20221031, 20221004, 20221004, 20221003, 20221003, 20221003, 20221003, 20221031
