    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20221101, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221101
20221102, 20221108, 20221108, 20221108, 20221108, 20221109, 20221109, 20221102
20221103, 20221108, 20221108, 20221108, 20221108, 20221110, 20221110, 20221103
20221104, 20221108, 20221108, 20221108, 20221108, 20221111, 20221111, 20221104
20221105, 20221108, 20221108, 20221112, 20221112, 20221112, 20221112, 20221105
20221106, 20221108, 20221108, 20221113, 20221113, 20221113, 20221113, 20221106
20221107, 20221108, 20221108, 20221107, 20221107, 20221107, 20221107, 20221107
20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108
20221109, 20221108, 20221108, 20221108, 20221108, 20221109, 20221109, 20221109
20221110, 20221108, 20221108, 20221108, 20221108, 20221110, 20221110, 20221110
20221111, 20221108, 20221108, 20221108, 20221108, 20221111, 20221111, 20221111
20221112, 20221108, 20221108, 20221112, 20221112, 20221112, 20221112, 20221112
20221113, 20221108, 20221108, 20221113, 20221113, 20221113, 20221113, 20221113
20221114, 20221108, 20221108, 20221107, 20221107, 20221107, 20221107, 20221114
20221115, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221115
20221116, 20221108, 20221108, 20221108, 20221108, 20221109, 20221109, 20221116
20221117, 20221108, 20221108, 20221108, 20221108, 20221110, 20221110, 20221117
20221118, 20221108, 20221108, 20221108, 20221108, 20221111, 20221111, 20221118
20221119, 20221108, 20221108, 20221112, 20221112, 20221112, 20221112, 20221119
20221120, 20221108, 20221108, 20221113, 20221113, 20221113, 20221113, 20221120
20221121, 20221108, 20221108, 20221107, 20221107, 20221107, 20221107, 20221121
20221122, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221122
20221123, 20221108, 20221108, 20221108, 20221108, 20221109, 20221109, 20221123
20221124, 20221108, 20221124, 20221108, 20221124, 20221110, 20221124, 20221124
20221125, 20221108, 20221125, 20221108, 20221125, 20221111, 20221125, 20221125
20221126, 20221108, 20221126, 20221112, 20221126, 20221112, 20221126, 20221126
20221127, 20221108, 20221108, 20221113, 20221113, 20221113, 20221113, 20221127
20221128, 20221108, 20221108, 20221107, 20221107, 20221107, 20221107, 20221128
20221129, 20221108, 20221108, 20221108, 20221108, 20221108, 20221108, 20221129
20221130, 20221108, 20221108, 20221108, 20221108, 20221109, 20221109, 20221130
