    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20221201, 20221206, 20221206, 20221206, 20221206, 20221208, 20221208, 20221201
20221202, 20221206, 20221206, 20221206, 20221206, 20221209, 20221209, 20221202
20221203, 20221206, 20221206, 20221210, 20221210, 20221210, 20221210, 20221203
20221204, 20221206, 20221206, 20221211, 20221211, 20221211, 20221211, 20221204
20221205, 20221206, 20221206, 20221205, 20221205, 20221205, 20221205, 20221205
20221206, 20221206, 20221206, 20221206, 20221206, 20221206, 20221206, 20221206
20221207, 20221206, 20221206, 20221206, 20221206, 20221207, 20221207, 20221207
20221208, 20221206, 20221206, 20221206, 20221206, 20221208, 20221208, 20221208
20221209, 20221206, 20221206, 20221206, 20221206, 20221209, 20221209, 20221209
20221210, 20221206, 20221206, 20221210, 20221210, 20221210, 20221210, 20221210
20221211, 20221206, 20221206, 20221211, 20221211, 20221211, 20221211, 20221211
20221212, 20221206, 20221206, 20221205, 20221205, 20221205, 20221205, 20221212
20221213, 20221206, 20221206, 20221206, 20221206, 20221206, 20221206, 20221213
20221214, 20221206, 20221206, 20221206, 20221206, 20221207, 20221207, 20221214
20221215, 20221206, 20221206, 20221206, 20221206, 20221208, 20221208, 20221215
20221216, 20221206, 20221206, 20221206, 20221206, 20221209, 20221209, 20221216
20221217, 20221206, 20221206, 20221210, 20221210, 20221210, 20221210, 20221217
20221218, 20221206, 20221206, 20221211, 20221211, 20221211, 20221211, 20221218
20221219, 20221206, 20221206, 20221205, 20221205, 20221205, 20221205, 20221219
20221220, 20221206, 20221206, 20221206, 20221206, 20221206, 20221206, 20221220
20221221, 20221206, 20221206, 20221206, 20221206, 20221207, 20221207, 20221221
20221222, 20221206, 20221206, 20221206, 20221206, 20221208, 20221208, 20221222
20221223, 20221206, 20221206, 20221206, 20221206, 20221209, 20221209, 20221223
20221224, 20221206, 20221224, 20221210, 20221224, 20221210, 20221224, 20221224
20221225, 20221206, 20221225, 20221211, 20221225, 20221211, 20221225, 20221225
20221226, 20221206, 20221226, 20221205, 20221226, 20221205, 20221226, 20221226
20221227, 20221206, 20221227, 20221206, 20221227, 20221206, 20221227, 20221227
20221228, 20221206, 20221206, 20221206, 20221206, 20221207, 20221207, 20221228
20221229, 20221206, 20221206, 20221206, 20221206, 20221208, 20221208, 20221229
20221230, 20221206, 20221206, 20221206, 20221206, 20221209, 20221209, 20221230
20221231, 20221206, 20221206, 20221210, 20221210, 20221210, 20221210, 20221231
