    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220801, 20220802, 20220802, 20220808, 20220808, 20220808, 20220808, 20220801
20220802, 20220802, 20220802, 20220809, 20220809, 20220809, 20220809, 20220802
20220803, 20220802, 20220802, 20220809, 20220809, 20220810, 20220810, 20220803
20220804, 20220802, 20220802, 20220809, 20220809, 20220811, 20220811, 20220804
20220805, 20220802, 20220802, 20220809, 20220809, 20220812, 20220812, 20220805
20220806, 20220802, 20220802, 20220813, 20220813, 20220813, 20220813, 20220806
20220807, 20220802, 20220802, 20220814, 20220814, 20220814, 20220814, 20220807
20220808, 20220802, 20220802, 20220808, 20220808, 20220808, 20220808, 20220808
20220809, 20220802, 20220802, 20220809, 20220809, 20220809, 20220809, 20220809
20220810, 20220802, 20220802, 20220809, 20220809, 20220810, 20220810, 20220810
20220811, 20220802, 20220802, 20220809, 20220809, 20220811, 20220811, 20220811
20220812, 20220802, 20220802, 20220809, 20220809, 20220812, 20220812, 20220812
20220813, 20220802, 20220802, 20220813, 20220813, 20220813, 20220813, 20220813
20220814, 20220802, 20220802, 20220814, 20220814, 20220814, 20220814, 20220814
20220815, 20220802, 20220802, 20220808, 20220808, 20220808, 20220808, 20220815
20220816, 20220802, 20220802, 20220809, 20220809, 20220809, 20220809, 20220816
20220817, 20220802, 20220802, 20220809, 20220809, 20220810, 20220810, 20220817
20220818, 20220802, 20220802, 20220809, 20220809, 20220811, 20220811, 20220818
20220819, 20220802, 20220802, 20220809, 20220809, 20220812, 20220812, 20220819
20220820, 20220802, 20220802, 20220813, 20220813, 20220813, 20220813, 20220820
20220821, 20220802, 20220802, 20220814, 20220814, 20220814, 20220814, 20220821
20220822, 20220802, 20220802, 20220808, 20220808, 20220808, 20220808, 20220822
20220823, 20220802, 20220802, 20220809, 20220809, 20220809, 20220809, 20220823
20220824, 20220802, 20220802, 20220809, 20220809, 20220810, 20220810, 20220824
20220825, 20220802, 20220802, 20220809, 20220809, 20220811, 20220811, 20220825
20220826, 20220802, 20220802, 20220809, 20220809, 20220812, 20220812, 20220826
20220827, 20220802, 20220802, 20220813, 20220813, 20220813, 20220813, 20220827
20220828, 20220802, 20220802, 20220814, 20220814, 20220814, 20220814, 20220828
20220829, 20220802, 20220802, 20220808, 20220808, 20220808, 20220808, 20220829
20220830, 20220802, 20220802, 20220809, 20220809, 20220809, 20220809, 20220830
20220831, 20220802, 20220802, 20220809, 20220809, 20220810, 20220810, 20220831
