    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220201, 20220208, 20220208, 20220208, 20220208, 20220208, 20220208, 20220201
20220202, 20220208, 20220208, 20220208, 20220208, 20220209, 20220209, 20220202
20220203, 20220208, 20220208, 20220208, 20220208, 20220210, 20220210, 20220203
20220204, 20220208, 20220208, 20220208, 20220208, 20220211, 20220211, 20220204
20220205, 20220208, 20220208, 20220212, 20220212, 20220212, 20220212, 20220205
20220206, 20220208, 20220208, 20220213, 20220213, 20220213, 20220213, 20220206
20220207, 20220208, 20220208, 20220207, 20220207, 20220207, 20220207, 20220207
20220208, 20220208, 20220208, 20220208, 20220208, 20220208, 20220208, 20220208
20220209, 20220208, 20220208, 20220208, 20220208, 20220209, 20220209, 20220209
20220210, 20220208, 20220208, 20220208, 20220208, 20220210, 20220210, 20220210
20220211, 20220208, 20220208, 20220208, 20220208, 20220211, 20220211, 20220211
20220212, 20220208, 20220208, 20220212, 20220212, 20220212, 20220212, 20220212
20220213, 20220208, 20220208, 20220213, 20220213, 20220213, 20220213, 20220213
20220214, 20220208, 20220208, 20220207, 20220207, 20220207, 20220207, 20220214
20220215, 20220208, 20220208, 20220208, 20220208, 20220208, 20220208, 20220215
20220216, 20220208, 20220208, 20220208, 20220208, 20220209, 20220209, 20220216
20220217, 20220208, 20220208, 20220208, 20220208, 20220210, 20220210, 20220217
20220218, 20220208, 20220208, 20220208, 20220208, 20220211, 20220211, 20220218
20220219, 20220208, 20220208, 20220212, 20220212, 20220212, 20220212, 20220219
20220220, 20220208, 20220208, 20220213, 20220213, 20220213, 20220213, 20220220
20220221, 20220208, 20220208, 20220207, 20220207, 20220207, 20220207, 20220221
20220222, 20220208, 20220208, 20220208, 20220208, 20220208, 20220208, 20220222
20220223, 20220208, 20220208, 20220208, 20220208, 20220209, 20220209, 20220223
20220224, 20220208, 20220208, 20220208, 20220208, 20220210, 20220210, 20220224
20220225, 20220208, 20220208, 20220208, 20220208, 20220211, 20220211, 20220225
20220226, 20220208, 20220208, 20220212, 20220212, 20220212, 20220212, 20220226
20220227, 20220208, 20220208, 20220213, 20220213, 20220213, 20220213, 20220227
20220228, 20220208, 20220208, 20220207, 20220207, 20220207, 20220207, 20220228
