    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20220301, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220301
20220302, 20220308, 20220308, 20220308, 20220308, 20220309, 20220309, 20220302
20220303, 20220308, 20220308, 20220308, 20220308, 20220310, 20220310, 20220303
20220304, 20220308, 20220308, 20220308, 20220308, 20220311, 20220311, 20220304
20220305, 20220308, 20220308, 20220312, 20220312, 20220312, 20220312, 20220305
20220306, 20220308, 20220308, 20220313, 20220313, 20220313, 20220313, 20220306
20220307, 20220308, 20220308, 20220307, 20220307, 20220307, 20220307, 20220307
20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308
20220309, 20220308, 20220308, 20220308, 20220308, 20220309, 20220309, 20220309
20220310, 20220308, 20220308, 20220308, 20220308, 20220310, 20220310, 20220310
20220311, 20220308, 20220308, 20220308, 20220308, 20220311, 20220311, 20220311
20220312, 20220308, 20220308, 20220312, 20220312, 20220312, 20220312, 20220312
20220313, 20220308, 20220308, 20220313, 20220313, 20220313, 20220313, 20220313
20220314, 20220308, 20220308, 20220307, 20220307, 20220307, 20220307, 20220314
20220315, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220315
20220316, 20220308, 20220308, 20220308, 20220308, 20220309, 20220309, 20220316
20220317, 20220308, 20220308, 20220308, 20220308, 20220310, 20220310, 20220317
20220318, 20220308, 20220308, 20220308, 20220308, 20220311, 20220311, 20220318
20220319, 20220308, 20220308, 20220312, 20220312, 20220312, 20220312, 20220319
20220320, 20220308, 20220308, 20220313, 20220313, 20220313, 20220313, 20220320
20220321, 20220308, 20220308, 20220307, 20220307, 20220307, 20220307, 20220321
20220322, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220322
20220323, 20220308, 20220308, 20220308, 20220308, 20220309, 20220309, 20220323
20220324, 20220308, 20220308, 20220308, 20220308, 20220310, 20220310, 20220324
20220325, 20220308, 20220308, 20220308, 20220308, 20220311, 20220311, 20220325
20220326, 20220308, 20220308, 20220312, 20220312, 20220312, 20220312, 20220326
20220327, 20220308, 20220308, 20220313, 20220313, 20220313, 20220313, 20220327
20220328, 20220308, 20220308, 20220307, 20220307, 20220307, 20220307, 20220328
20220329, 20220308, 20220308, 20220308, 20220308, 20220308, 20220308, 20220329
20220330, 20220308, 20220308, 20220308, 20220308, 20220309, 20220309, 20220330
20220331, 20220308, 20220308, 20220308, 20220308, 20220310, 20220310, 20220331
